01M015    P.S. 015 Roberto Clemente
01M019    P.S. 019 Asher Levy
01M020    P.S. 020 Anna Silver
01M034    P.S. 034 Franklin D. Roosevelt
01M063    The STAR Academy - P.S.63
01M064    P.S. 064 Robert Simon
01M110    P.S. 110 Florence Nightingale
01M134    P.S. 134 Henrietta Szold
01M140    P.S. 140 Nathan Straus
01M142    P.S. 142 Amalia Castro
01M184    P.S. 184m Shuang Wen
01M188    P.S. 188 The Island School
01M292    Orchard Collegiate Academy
01M301    Technology, Arts, and Sciences Studio
01M315    The East Village Community School
01M332    University Neighborhood Middle School
01M361    The Children's Workshop School
01M363    Neighborhood School
01M364    Earth School
01M378    School for Global Leaders
01M448    University Neighborhood High School
01M450    East Side Community School
01M458    Forsyth Satellite Academy
01M509    Marta Valle High School
01M515    Lower East Side Preparatory High School
01M539    New Explorations into Science, Technology and Math High School
01M650    Cascades High School
01M696    Bard High School Early College
01M839    Tompkins Square Middle School
02M001    P.S. 001 Alfred E. Smith
02M002    P.S. 002 Meyer London
02M003    P.S. 003 Charrette School
02M006    P.S. 006 Lillie D. Blake
02M011    P.S. 011 William T. Harris
02M033    P.S. 033 Chelsea Prep
02M040    P.S. 040 Augustus Saint-Gaudens
02M041    P.S. 041 Greenwich Village
02M042    P.S. 042 Benjamin Altman
02M047    47 The American Sign Language and English Secondary School
02M051    P.S. 051 Elias Howe
02M059    P.S. 059 Beekman Hill International
02M077    P.S. 77 Lower Lab School
02M089    P.S. 89
02M104    J.H.S. 104 Simon Baruch
02M111    P.S. 111 Adolph S. Ochs
02M114    East Side Middle School
02M116    P.S. 116 Mary Lindley Murray
02M124    P.S. 124 Yung Wing
02M126    P.S. 126 Jacob August Riis
02M130    P.S. 130 Hernando De Soto
02M131    M.S. 131
02M135    The Urban Assembly School for Emergency Management
02M139    Stephen T. Mather Building Arts & Craftsmanship High School
02M150    P.S. 150
02M151    Yorkville Community School
02M158    P.S. 158 Bayard Taylor
02M167    J.H.S. 167 Robert F. Wagner
02M177    Yorkville East Middle School
02M183    P.S. 183 Robert L. Stevenson
02M198    P.S. 198 Isador E. Ida Straus
02M212    P.S. 212 Midtown West
02M217    P.S./I.S. 217 Roosevelt Island
02M225    Ella Baker School
02M234    P.S. 234 Independence School
02M255    M.S. 255 Salk School of Science
02M260    M.S. 260 Clinton School Writers & Artists
02M267    East Side Elementary School, PS 267
02M276    Battery Park City School
02M280    Manhattan Early College School for Advertising
02M281    The River School
02M282    Urban Assembly Maker Academy
02M288    Food and Finance High School
02M289    I.S. 289
02M290    P.S. 290 Manhattan New School
02M294    Essex Street Academy
02M296    High School of Hospitality Management
02M298    Pace High School
02M300    Urban Assembly School of Design and Construction, The
02M303    Facing History School, The
02M305    Urban Assembly Academy of Government and Law, The
02M308    Lower Manhattan Arts Academy
02M312    New York City Lab Middle School for Collaborative Studies
02M313    James Baldwin School, The: A School for Expeditionary Learning
02M316    Urban Assembly School of Business for Young Women, the
02M340    Sixth Avenue Elementary School
02M343    The Peck Slip School
02M347    The 47 American Sign Language & English Lower School
02M374    Gramercy Arts High School
02M376    NYC iSchool
02M391    District 2 Pre-K Center
02M392    MANHATTAN BUSINESS ACADEMY
02M393    Business Of Sports School
02M394    Emma Lazarus High School
02M397    Spruce Street School
02M399    The High School For Language And Diplomacy
02M400    High School for Environmental Studies
02M407    Institute for Collaborative Education
02M408    Professional Performing Arts High School
02M411    Baruch College Campus High School
02M412    N.Y.C. Lab School for Collaborative Studies
02M413    School of the Future High School
02M414    N.Y.C. Museum School
02M416    Eleanor Roosevelt High School
02M418    Millennium High School
02M419    Landmark High School
02M420    High School for Health Professions and Human Services
02M422    Quest to Learn
02M425    Leadership and Public Service High School
02M427    MANHATTAN ACADEMY FOR ARTS & LANGUAGE
02M432    Murray Hill Academy
02M437    Hudson High School of Learning Technologies
02M438    International High School at Union Square
02M439    Manhattan Village Academy
02M442    Ballet Tech, NYC Public School for Dance
02M449    Vanguard High School
02M459    Manhattan International High School
02M475    Stuyvesant High School
02M489    High School of Economics and Finance
02M500    Unity Center for Urban Technologies
02M507    Urban Assembly Gateway School for Technology
02M519    Talent Unlimited High School
02M520    Murry Bergtraum High School for Business Careers
02M527    P.S. 527 - East Side School for Social Action
02M529    Jacqueline Kennedy Onassis High School
02M531    Repertory Company High School for Theatre Arts
02M533    Union Square Academy for Health Sciences
02M534    Harvest Collegiate High School
02M542    Manhattan Bridges High School
02M543    New Design High School
02M544    Independence High School
02M545    High School for Dual Language and Asian Studies
02M546    Academy for Software Engineering
02M550    Liberty High School Academy for Newcomers
02M551    Urban Assembly New York Harbor School
02M560    High School M560 - City As School
02M565    Urban Academy Laboratory High School
02M570    Satellite Academy High School
02M575    Manhattan Comprehensive Night and Day High School
02M580    Richard R. Green High School of Teaching
02M586    Harvey Milk High School
02M600    The High School of Fashion Industries
02M605    Humanities Preparatory Academy
02M615    Chelsea Career and Technical Education High School
02M630    Art and Design High School
02M655    Life Sciences Secondary School
02M896    Lower Manhattan Community Middle School
02M933    City Knoll Middle School
03M009    P.S. 009 Sarah Anderson
03M054    J.H.S. 054 Booker T. Washington
03M075    P.S. 075 Emily Dickinson
03M076    P.S. 076 A. Philip Randolph
03M084    P.S. 084 Lillian Weber
03M087    P.S. 087 William Sherman
03M145    P.S. 145, The Bloomingdale School
03M149    P.S. 149 Sojourner Truth
03M163    P.S. 163 Alfred E. Smith
03M165    P.S. 165 Robert E. Simon
03M166    P.S. 166 The Richard Rodgers School of The Arts and Technology
03M180    P.S. 180 Hugo Newman
03M185    P.S. 185 - The Early Childhood Discovery and Design Magnet School
03M191    P.S. 191 Amsterdam
03M199    P.S. 199 Jessie Isador Straus
03M208    The Alain L. Locke Magnet School for Environmental Stewardship
03M241    STEM Institute of Manhattan
03M242    P.S. 242 - The Young Diplomats Magnet Academy
03M243    M.S. 243 Center School
03M245    M.S. M245 The Computer School
03M247    M.S. M247 Dual Language Middle School
03M250    M.S. 250 West Side Collaborative Middle School
03M256    M.S. 256 Academic & Athletic Excellence
03M258    Community Action School - MS 258
03M291    West End Secondary School
03M299    The Maxine Greene HS for Imaginative Inquiry
03M307    Urban Assembly School for Media Studies, The
03M333    P.S. 333 Manhattan School for Children
03M334    The Anderson School
03M402    The Urban Assembly School for Green Careers
03M403    The Global Learning Collaborative
03M404    Innovation Diploma Plus
03M415    Wadleigh Secondary School for the Performing & Visual Arts
03M417    Frank Mccourt High School
03M421    West Prep Academy
03M452    P.S. 452
03M479    Beacon High School
